"Gene_ID","Gene_name","Fourier_score","P_value","FDR"
"YFL044C","OTU1",4.06173468001495,0.33314,0.483935527338689
"YFL042C","YFL042C",7.23667408742256,0.00751,0.0328232212666145
"YFL041W-A","YFL041W-A",3.38899847054943,0.48687,0.613526442741208
"YFL041W","FET5",3.80331356013741,0.37744,0.521278188995806
"YFL039C","ACT1",3.70940608322054,0.40931,0.548559793814433
"YFL038C","YPT1",4.12506560706196,0.31148,0.465056944444444
"YFL037W","TUB2",8.64914539566304,2e-04,0.00283756345177665
"YFL036W","RPO41",8.41927548723135,0.00173,0.0114990487514863
"YFL034C-B","MOB2",5.86935302401366,0.05625,0.144436150666054
"YFL034C-A","RPL22B",0.90374263779043,0.94702,0.960595499909272
"YFL034W","YFL034W",4.72254826404844,0.20849,0.359376842429849
"YFL033C","RIM15",0.748357731116099,0.96551,0.97475183312263
"YFL031W","HAC1",2.86307682670207,0.64434,0.736275674570728
"YFL030W","AGX1",4.70643337293509,0.198,0.347510204081633
"YFL029C","CAK1",3.48252820469478,0.44896,0.582564159702878
"YFL028C","CAF16",3.18483205358375,0.50418,0.626005549389567
"YFL027C","GYP8",8.18090143188269,0.00141,0.00993934426229508
"YFL026W","STE2",7.58043065029173,0.00391,0.0206782403027436
